Geneid	WT1	WT2	dFNR1	dFNR2
b0874	152	177	153	70
b0875	85	95	43	19
b0876	388	460	250	158
b0877	1201	1833	799	511
b0878	307	374	328	237
b0879	480	544	502	330
b0880	853	928	1052	761
b0881	281	376	397	225
b0882	3341	4462	4188	2721
b0883	17	12	9	1
b0884	1337	1730	1033	614
b0885	135	157	200	145
b0886	456	480	984	634
b0887	519	533	1182	685
b0888	867	1131	1793	1258
b0889	1789	2242	1963	1365
b0890	2331	3022	2694	1743
b0891	343	479	474	314
b0892	412	461	467	305
b0893	4855	6458	4956	2889
b0894	3697	4869	97	51
b0895	793	1055	17	14
b0896	1134	1460	105	60
b0897	392	535	979	586
b0898	511	705	519	326
b0899	76	45	20	13
b0900	67	72	71	46
b0901	45	49	36	24
b0902	582	704	620	456
b0903	55033	80015	39302	25148
b0904	2402	3539	1482	964
b0905	1896	1893	1309	1268
b0906	114	115	141	80
b0907	10442	12493	9863	6531
b0908	2281	2985	2314	1448
b0909	42	37	32	15
b0910	1085	1453	1287	878
b0911	24048	30435	28973	17620
b0912	1042	1397	1259	878
b0913	151	80	86	60
b0914	1118	1241	1062	621
b0915	280	311	248	145
b0916	101	80	76	52
b0917	186	248	224	129
b0918	728	862	919	591
b0919	589	779	278	162
b0920	254	292	154	71
b0921	377	422	372	213
b0922	547	739	566	362
b0923	306	355	370	204
b0924	2584	3145	2808	1828
b0925	640	712	720	435
b0926	963	1397	1487	843
b0927	1005	1321	1151	716
b0928	3546	4853	4957	3124
b0929	27644	34070	11107	6238
b0930	3748	5224	3640	2244
b0931	2014	2670	2474	1516
b0932	2300	3050	3229	2195
b0933	101	80	88	54
b0934	44	7	22	15
b0935	75	26	45	25
b0936	33	7	9	8
b0937	30	20	21	7
b0938	18	19	8	14
b0939	20	2	4	2
b0940	96	48	32	18
b0941	68	49	35	29
b0942	25	14	13	8
b0943	49	28	19	13
b0944	76	78	53	31
b0945	1830	2139	687	430
b0946	399	472	290	204
b0947	402	411	314	160
b0948	798	982	859	518
b0949	707	900	800	510
b0950	153	169	171	100
b0951	305	418	415	274
b0952	111	104	120	58
b0953	1210	1820	3846	2234
b0954	1110	1453	970	657
b0955	747	870	876	498
b0956	125	151	100	92
b0957	37514	48301	39850	26159
b0958	129	143	201	100
b0959	114	125	106	65
b0960	493	565	484	307
b0961	188	213	184	102
b0962	726	924	834	591
b0963	445	625	495	340
b0964	62	49	51	29
b0965	283	335	407	251
b0966	377	418	440	295
b0967	600	745	574	420
b0968	129	142	139	112
b0969	114	124	101	79
b0970	824	981	2015	1186
b0971	5	5	4	1
b0972	7105	11250	4256	3065
b0973	9773	15031	5994	4259
b0974	3064	4809	1873	1245
b0975	2554	3871	1455	906
b0976	975	1555	551	420
b0977	2345	3683	1376	888
b0978	6822	11535	3846	2700
b0979	3646	5963	2111	1382
b4592	199	321	98	79
b0980	2234	3522	1367	1042
b0981	286	356	246	162
b0982	27	18	29	13
b0983	71	44	39	20
b0984	89	41	42	30
b0985	25	5	13	4
b0986	22	11	3	5
b0987	40	30	25	21
b4516	18	26	18	16
b0988	520	660	473	300
b0989	6	4	1	0
b0990	9	9	18	6
b0991	10	11	8	0
b4517	19	10	6	1
b0992	133	124	31	17
b0993	293	269	204	107
b0994	144	140	117	84
b0995	131	130	96	74
b0996	45	17	21	13
b0997	178	100	76	58
b0998	146	137	122	61
b0999	526	710	608	395
b1000	1989	3182	2897	2019
b1001	20	2	6	4
b1002	289	305	451	255
b1003	353	440	402	232
b1004	3036	3940	3792	2657
b4518	32	31	56	60
b1006	93	69	69	48
b1007	31	12	10	6
b1008	31	5	5	7
b1009	44	11	7	7
b1010	23	2	3	8
b1011	35	10	8	3
b1012	41	7	3	7
b1013	73	60	57	50
b1014	331	204	1458	870
b1015	493	454	375	238
b4490	43	12	19	19
b1018	44	32	19	14
b1019	73	39	42	23
b1020	32	21	42	20
b1021	12	4	13	8
b1022	40	14	8	12
b1023	51	23	15	10
b1024	134	52	61	36
b1025	99	74	63	33
b1026	85	52	65	37
b1027	16	29	29	9
b1028	9	1	0	1
b1029	13	4	4	2
b1032	10	3	3	0
b1033	487	594	789	525
b1034	572	799	687	449
b1035	484	567	455	324
b1036	158	163	147	90
b1037	120	111	233	100
b1038	29	22	74	26
b1039	26	26	58	28
b1040	72	81	215	109
b1041	24	8	16	6
b1042	83	79	71	48
b1043	9	4	1	3
b1044	14	6	12	9
b1045	152	151	151	100
b1046	172	186	218	142
b1047	70	41	36	31
b1048	1943	2403	2177	1268
b1049	1815	2301	1998	1275
b1050	697	871	995	718
b1051	1086	1491	1665	1278
b1053	81	96	58	31
b1054	248	285	143	88
b1055	92	108	187	122
b1056	27	16	69	43
b1057	27	6	20	14
b1058	8	2	0	1
b1059	620	800	785	485
b1060	173	212	143	68
b1061	68	81	69	44
b1062	2761	3282	3048	2050
b1063	166	208	214	127
b1064	600	720	1172	651
b1065	154	121	69	59
b1066	333	450	321	219
b1067	325	478	400	270
b1068	545	667	530	354
b1069	251	229	175	119
b1070	27	16	25	14
b1071	26	33	23	19
b1072	51	37	22	22
b1073	31	10	2	3
b1074	27	10	1	3
b1075	53	25	7	7
b1076	75	48	31	15
b1077	71	39	13	16
b1078	58	43	17	12
b1079	36	19	15	7
b1080	53	24	18	11
b1081	50	17	15	19
b1082	76	54	54	45
b1083	91	89	64	38
b1084	3743	4689	3309	2375
b1085	131	105	103	100
b1086	376	433	347	265
b1087	360	495	543	337
b4418	278	291	229	128
b1088	5667	6561	5076	3172
b1089	1992	2269	1586	995
b1090	1000	1219	1004	678
b1091	2056	2670	2520	1486
b1092	2904	3860	3737	2452
b1093	4958	6491	5736	3570
b1094	4222	5803	4149	2534
b1095	3910	4993	3970	2440
b1096	185	242	190	100
b1097	134	169	163	107
b1098	180	250	183	134
b1099	247	299	226	146
b1100	290	394	324	191
b1101	10189	11834	10168	6469
b1102	106	72	48	50
b1103	839	1196	1161	662
b1104	375	519	472	282
b1105	926	1190	1146	701
b1106	270	314	298	194
b1107	741	1073	908	594
b1108	708	912	683	432
b1109	359	466	4565	3251
b1110	62	100	169	143
b1111	106	179	124	83
b1112	13	31	44	28
b1113	26	30	25	21
b1114	1755	2200	2109	1407
b1115	49	9	17	8
b1116	380	405	393	243
b1117	257	355	281	155
b1118	523	628	557	345
b1119	595	665	585	360
b1120	464	599	508	326
b1121	31	20	11	12
b1122	15	6	3	1
b1123	1617	1937	1634	1057
b1124	417	560	334	225
b1125	464	564	325	230
b1126	937	1343	717	433
b1127	1574	1964	616	374
b1128	997	1295	1166	806
b1129	485	555	483	297
b1130	598	809	658	381
b1131	1566	2031	2192	1397
b1132	316	350	329	204
b1133	1040	1359	1111	679
b1134	88	121	97	71
b1135	120	130	124	78
b1136	2899	4013	6757	3997
b1137	11	2	4	2
b1138	13	9	7	13
b1139	45	47	51	36
b1140	56	22	28	22
b1141	16	15	14	9
b1143	110	139	140	71
b1144	70	97	95	57
b1145	162	207	168	89
b1146	6	1	3	4
b1147	22	12	16	16
b1148	19	6	6	8
b4692	26	10	9	4
b4693	40	22	12	13
b1150	4	2	5	2
b1151	15	4	4	1
b1152	36	15	8	12
b1153	28	5	7	5
b1154	27	11	3	4
b1155	13	12	7	8
b1156	21	19	13	9
b1157	17	3	1	0
b1158	18	4	4	3
b1159	50	47	36	26
b4519	6	2	4	4
b1160	4	3	2	1
b1161	7	6	6	3
b1162	213	242	185	160
b1163	28	25	33	17
b1164	10	2	16	22
b1165	2	2	13	5
b1166	2	0	4	3
b1167	4	0	2	3
b1168	57	13	10	18
b4520	4	2	3	3
b4491	144	158	127	74
b1171	114	145	135	94
b1172	131	183	149	121
b4593	18	18	20	18
b4594	4	3	5	2
b4521	27	14	16	12
b1174	174	189	177	119
b1175	1153	1615	1595	1103
b1176	657	789	787	481
b1177	36	53	63	48
b1178	51	57	61	49
b1179	185	297	257	146
b1180	370	408	380	232
b1181	107	144	122	82
b1182	53	50	17	15
b1183	35	50	40	32
b1184	91	86	60	36
b1185	263	317	239	139
b1186	587	624	496	287
b1187	283	336	331	189
b1188	267	292	537	345
b1189	369	490	2209	1296
b1190	175	206	916	542
b1191	358	446	357	241
b1192	263	261	269	165
b1193	403	481	397	279
b1194	98	84	86	64
b1195	49	39	49	41
b1196	11	6	5	6
b1197	151	98	189	113
b1198	676	898	861	506
b1199	386	482	424	263
b1200	446	631	596	397
b1201	173	168	124	77
b1202	266	245	221	133
b1203	758	1071	919	599
b1204	200	268	212	153
b1205	136	146	192	150
b1206	593	730	503	316
b1207	4322	6050	4819	3237
b1208	2010	2639	2084	1329
b1209	401	541	411	272
b1210	717	904	711	517
b1211	497	603	524	354
b1212	159	148	131	102
b1213	95	115	145	82
b1214	394	471	415	263
b1215	1338	1825	1855	1236
b4419	68	108	97	50
b4420	1	9	5	1
