Additional file 19. Pathway activities calculated based on metabolome data.																											
	T0_1	T0_2	T0_3	T0_4	T0_5	T0_6	T1_1	T1_2	T1_3	T1_4	T1_5	T1_6	T8_1	T8_2	T8_3	T8_4	T8_5	T8_6	T0_MEAN	T1_MEAN	T8_MEAN	T0_SD	T1_SD	T8_SD	Pvalue_T1:T0	Pvalue_T8:T0	Pvalue_T8:T1
Glutathione metabolism	651,43 	635,14 	548,29 	966,29 	917,43 	841,43 	597,14 	689,43 	868,57 	776,29 	1031,43 	879,43 	776,29 	624,29 	836,00 	689,43 	912,00 	770,86 	760,00 	807,05 	768,14 	170,98 	153,76 	102,24 	0,60 	0,83 	0,68 
Glycerolipid metabolism	561,00 	627,00 	594,00 	957,00 	429,00 	957,00 	1221,00 	1221,00 	1188,00 	1188,00 	1056,00 	1056,00 	1287,00 	1287,00 	1287,00 	1287,00 	1287,00 	1287,00 	687,50 	1155,00 	1287,00 	219,31 	78,09 	0,00 	0,01 	0,00 	0,01 
Glycine, serine and threonine metabolism	1326,00 	1113,50 	1164,50 	697,00 	850,00 	1028,50 	1402,50 	1385,50 	1411,00 	1394,00 	1462,00 	1513,00 	1496,00 	1581,00 	1606,50 	1640,50 	1615,00 	1640,50 	1029,92 	1428,00 	1596,58 	226,26 	49,56 	54,14 	0,01 	0,00 	0,00 
Glycolysis / Gluconeogenesis	488,25 	945,50 	155,00 	410,75 	558,00 	627,75 	604,50 	829,25 	852,50 	790,50 	720,75 	643,25 	379,75 	317,75 	100,75 	286,75 	372,00 	139,50 	530,88 	740,13 	266,08 	260,60 	101,26 	118,82 	0,13 	0,07 	0,00 
Glyoxylate and dicarboxylate metabolism	1342,29 	1209,71 	1615,71 	1168,29 	737,43 	828,57 	1706,86 	1093,71 	911,43 	1325,71 	1060,57 	936,29 	1118,57 	1118,57 	1425,14 	1309,14 	1068,86 	1218,00 	1150,33 	1172,43 	1209,71 	325,97 	300,57 	136,25 	0,85 	0,55 	0,65 
Histidine metabolism	1430,00 	1276,00 	1210,00 	660,00 	572,00 	396,00 	858,00 	418,00 	462,00 	594,00 	660,00 	374,00 	418,00 	352,00 	924,00 	616,00 	550,00 	550,00 	924,00 	561,00 	568,33 	432,23 	181,28 	199,42 	0,12 	0,13 	0,97 
Indole alkaloid biosynthesis	376,00 	1880,00 	282,00 	423,00 	517,00 	1081,00 	1175,00 	1316,00 	1363,00 	1222,00 	1269,00 	1081,00 	611,00 	235,00 	141,00 	141,00 	329,00 	235,00 	759,83 	1237,67 	282,00 	617,41 	101,53 	175,86 	0,06 	0,04 	0,00 
Inositol phosphate metabolism	924,00 	1008,00 	1050,00 	1134,00 	1176,00 	462,00 	336,00 	630,00 	630,00 	252,00 	588,00 	714,00 	588,00 	336,00 	294,00 	378,00 	378,00 	378,00 	959,00 	525,00 	392,00 	259,47 	185,47 	101,73 	0,02 	0,00 	0,24 
Lysine biosynthesis	810,00 	1062,00 	1134,00 	720,00 	288,00 	576,00 	360,00 	198,00 	306,00 	252,00 	288,00 	360,00 	486,00 	414,00 	738,00 	612,00 	594,00 	666,00 	765,00 	294,00 	585,00 	313,58 	63,04 	118,17 	0,01 	0,41 	0,00 
Lysine degradation	658,00 	1269,00 	1269,00 	1645,00 	282,00 	1034,00 	94,00 	282,00 	564,00 	188,00 	282,00 	705,00 	752,00 	470,00 	517,00 	564,00 	752,00 	940,00 	1026,17 	352,50 	665,83 	487,91 	233,59 	179,38 	0,02 	0,29 	0,04 
Metabolic pathways	862,00 	910,00 	850,00 	866,00 	814,00 	870,00 	899,00 	890,00 	898,00 	892,00 	915,00 	906,00 	860,00 	835,00 	846,00 	835,00 	839,00 	866,00 	862,00 	900,00 	846,83 	31,09 	9,27 	13,29 	0,03 	0,32 	0,00 
Nicotinate and nicotinamide metabolism	861,67 	1269,00 	1629,33 	548,33 	955,67 	548,33 	1049,67 	924,33 	783,33 	846,00 	846,00 	736,33 	1065,33 	1002,67 	1253,33 	1143,67 	1081,00 	1143,67 	968,72 	864,28 	1114,94 	422,29 	110,96 	86,05 	0,83 	0,28 	0,00 
Nitrogen metabolism	1855,00 	1735,75 	1192,50 	1325,00 	410,75 	344,50 	861,25 	371,00 	357,75 	424,00 	569,75 	291,50 	569,75 	291,50 	821,50 	450,50 	450,50 	636,00 	1143,92 	479,21 	536,63 	643,06 	209,24 	182,78 	0,06 	0,10 	0,56 
Oxidative phosphorylation	229,33 	208,00 	512,00 	250,67 	330,67 	197,33 	480,00 	346,67 	170,67 	368,00 	197,33 	154,67 	229,33 	320,00 	368,00 	378,67 	213,33 	245,33 	288,00 	286,22 	292,44 	119,54 	131,49 	72,61 	0,88 	0,79 	0,70 
Pantothenate and CoA biosynthesis	609,00 	385,00 	546,00 	420,00 	679,00 	742,00 	315,00 	336,00 	301,00 	273,00 	357,00 	455,00 	581,00 	658,00 	588,00 	637,00 	637,00 	665,00 	563,50 	339,50 	627,67 	141,45 	63,50 	35,33 	0,00 	0,27 	0,00 
Pentose and glucuronate interconversions	1485,00 	935,00 	275,00 	1650,00 	1595,00 	1485,00 	1045,00 	1375,00 	1210,00 	1265,00 	1430,00 	1430,00 	1430,00 	1320,00 	1210,00 	1430,00 	1650,00 	1265,00 	1237,50 	1292,50 	1384,17 	536,36 	150,62 	157,18 	0,55 	0,42 	0,33 
Pentose phosphate pathway	363,00 	1089,00 	330,00 	517,00 	385,00 	825,00 	957,00 	1023,00 	1034,00 	968,00 	946,00 	858,00 	715,00 	539,00 	495,00 	495,00 	583,00 	539,00 	584,83 	964,33 	561,00 	306,77 	63,25 	82,32 	0,03 	0,80 	0,00 
Phenylalanine metabolism	1166,40 	1224,00 	1339,20 	2044,80 	1800,00 	1872,00 	1929,60 	2030,40 	1641,60 	1756,80 	1728,00 	1670,40 	1598,40 	1569,60 	1454,40 	1411,20 	1526,40 	1656,00 	1574,40 	1792,80 	1536,00 	375,58 	153,95 	91,38 	0,20 	0,98 	0,01 
Phenylalanine, tyrosine and tryptophan biosynthesis	464,00 	261,00 	87,00 	1102,00 	899,00 	1015,00 	783,00 	899,00 	986,00 	928,00 	957,00 	899,00 	667,00 	667,00 	667,00 	580,00 	696,00 	725,00 	638,00 	908,67 	667,00 	424,63 	70,24 	48,53 	0,17 	0,43 	0,00 
