	t-test		Fold Change		Raw data																																							
	6h Dex-24h H2O	24h Dex-24h H2O	DD/KR 6h Dex-24h H2O	DD/KR 24h Dex-24h H2O	Exp1_KR51-Rep1_6hDex.24hH2O	Exp1_KR51-Rep2_6hDex.24hH2O	Exp2_KR51-Rep1_6hDex.24hH2O	Exp2_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep1_6hDex.24hH2O	Exp3_KR51-Rep2_6hDex.24hH2O	Exp3_KR51-Rep3_6hDex.24hH2O	Exp4_KR51-Rep1_6hDex.24hH2O	Exp4_KR51-Rep2_6hDex.24hH2O	Exp4_KR51-Rep3_6hDex.24hH2O	Exp1_DD55-Rep1_6hDex.24hH2O	Exp1_DD55-Rep2_6hDex.24hH2O	Exp2_DD55-Rep1_6hDex.24hH2O	Exp2_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep1_6hDex.24hH2O	Exp3_DD55-Rep2_6hDex.24hH2O	Exp3_DD55-Rep3_6hDex.24hH2O	Exp4_DD55-Rep1_6hDex.24hH2O	Exp4_DD55-Rep2_6hDex.24hH2O	Exp4_DD55-Rep3_6hDex.24hH2O	Exp1_KR51-Rep1_24hDex.24hH2O	Exp1_KR51-Rep2_24hDex.24hH2O	Exp2_KR51-Rep1_24hDex.24hH2O	Exp2_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep1_24hDex.24hH2O	Exp3_KR51-Rep2_24hDex.24hH2O	Exp3_KR51-Rep3_24hDex.24hH2O	Exp4_KR51-Rep1_24hDex.24hH2O	Exp4_KR51-Rep2_24hDex.24hH2O	Exp4_KR51-Rep3_24hDex.24hH2O	Exp1_DD55-Rep1_24hDex.24hH2O	Exp1_DD55-Rep2_24hDex.24hH2O	Exp2_DD55-Rep1_24hDex.24hH2O	Exp2_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep1_24hDex.24hH2O	Exp3_DD55-Rep2_24hDex.24hH2O	Exp3_DD55-Rep3_24hDex.24hH2O	Exp4_DD55-Rep1_24hDex.24hH2O	Exp4_DD55-Rep2_24hDex.24hH2O	Exp4_DD55-Rep3_24hDex.24hH2O
Lariciresinol Hex	2,31E-04	5,35E-05	0,1	0,0	33856,557	72536,66973	74755,84672	72256,88337	42011,51436	18321,57235	18624,144	19372,014	38107,1635	12776,40978	7998,057391	8502,331765	6891,072171	8152,852255	3290,730442	2330,828928	2343,095352	1884,244539	426,384	1479,883074	168202,9886	170827,2374	127602,1202	151687,158	130121,8431	61140,07089	68267,136	38109,55658	39228,22723	25143,62412	5360,00325	7900,632667	5752,803185	3077,924087	1024,8	1215,984	312,5042609	396,5107826	515,5040348	205,968
Pentahomo-Met S-Oxide	2,42E-02	5,04E-01	1,5	1,1	10662,83235	11092,59093	13464,03417	13292,905	33163,14379	37705,766	37187,4484	32485,91202	36437,32477	30138,7386	23129,52527	19368,75666	21992,58637	24625,93946	64431,01144	58009,73426	51426,14892	56660,06991	44164,07053	60989,58351	20804,4121	19500,481	20161,37854	18999,21107	48438,096	40455,072	51565,38843	36569,17604	37138,08	33025,60349	25431,6624	19486,41568	20179,83374	23051,69012	51343,0632	63565,60351	36928,87257	46053,48527	42696,192	39251,82197
Phe	3,74E-01	1,29E-01	1,8	1,0	49399,488	46102,61098	44773,25421	43565,12682	108823,7229	146468,5285	152855,0086	393035,4424	298690,224	311119,8478	88349,83941	108890,2345	58661,05701	58826,3568	263770,7091	368156,5531	291832,464	448796,7292	192846,0908	254911,104	80461,74138	70474,72624	74376,5755	67296,1272	142573,9028	131099,3726	176252,5023	173482,7918	144939,2415	146257,776	137199,45	156690,2003	152139,1827	131517,2915	128223,6267	149762,5297	200604,768	98554,83605	118883,5372	215619,264
SAG	2,73E-01	2,49E-05	0,4	0,2	10061,81299	13949,46115	16492,20104	16538,94627	11891,376	13631,51855	11101,7421	6382,992	6360,459496	1727,376	12091,65132	6961,111697	19710,54773	19154,75772	7873,300779	3080,6772	2769,648	2387,2992	2462,735191	1456,416622	19028,80996	20783,7708	14944,57272	14002,38346	31083,36	12460,37604	25557,93253	11623,10524	9880,445753	8203,6674	5093,042311	4154,956909	3534,488779	8866,09255	2994,096	2834,354654	332,7542308	411,6294	445,9638692	263,424
Scopoletin 	1,03E-05	2,28E-09	0,2	0,1	39551,17833	47526,81267	56462,71436	54911,5488	70670,1489	57719,81148	93371,89352	55240,416	128515,632	42420	12444,26321	9353,010214	14218,85764	7015,901419	18205,8279	12603,67183	10019,184	11302,77882	13919,29693	14003,136	109988,4947	124078,6213	103989,8057	139941,7822	171657,8871	85738,98134	139771,17	157773,8105	115639,776	64804,90792	4338,8016	7023,795692	16557,15146	5905,780578	4145,3001	10155,6	4296,432	7195,776	13437,648	10632,384
Scopoletin Hex-Pent	2,63E-02	6,04E-02	0,7	0,8	36799,18452	32209,88596	35725,33071	34652,25868	52326,18558	45103,632	32296,656	27778,98279	36532,6676	38259,84573	36165,94489	45729,9999	18721,90522	18703,47063	35441,77971	32824,50444	24295,00609	27937,056	11003,35633	26203,66171	28563,90261	25759,01527	19764,93231	22996,50808	27847,344	31569,23611	23889,65589	19505,30627	18634,86306	35083,04	18795,81496	20696,09244	22386,64617	20640,93577	17309,59945	26531,232	11691,51247	19054,09107	24365,712	26998,76842
Scopolin	3,08E-07	1,35E-08	0,0	0,0	256254,855	324088,5836	372492,7896	369254,6331	297694,9407	258475,392	243951,3612	126119,0527	436702,56	112037,1221	37620,62429	42898,19181	27440,55	24399,78339	13287,792	8421,504	8459,902385	5947,536	7426,519056	6679,830857	670423,1898	620840,9991	513069,9663	542562,5977	758246,16	522813,397	553153,9753	372354,4176	322034,4155	222918,5685	8132,8428	12459,78245	26778,0611	10667,64258	1553,328	6031,2	1138,943224	1771,84665	1865,908964	929,8701143
SinGlc	4,37E-01	1,47E-02	0,8	0,4	5972,977118	5652,751304	5604,600857	5989,41525	20516,06162	18896,25773	16135,69891	19465,71049	29424,864	23568,72648	5048,973714	5040,876522	5994,008864	4759,99875	21580,05197	18596,57623	16015,104	16284,983	10736,88	19413,6085	6949,770686	6812,538415	6530,218391	5132,345143	15244,64237	18186,91776	19839,15678	23868,81734	23442,72	22351,056	7930,378957	4895,5965	4702,17375	4250,734565	13184,80911	12924,90741	5784,371229	9318,624	8376,940042	5217,6888
Syringin 	1,95E-05	1,98E-10	0,1	0,0	10841,11364	21536,15823	32288,4768	31404,46432	46693,44141	27950,832	32505,58699	23908,31713	75798,576	40157,9832	1151,512425	2207,96334	3313,832829	3228,523686	2186,016	1669,589318	2083,874236	2693,04	2399,89055	2745,100219	39647,0256	36961,19179	33001,27472	42057,25636	64466,304	37290,65746	32559,60828	39969,216	34349,35075	34647,25133	1711,196368	2536,234527	3795,5038	956,8335692	1407,495757	3450,944127	875,415913	982,7829818	1037,568	726,096
Trp	4,65E-03	9,19E-01	2,4	1,0	109949,8039	89360,83	116366,0279	116078,7636	220266,7553	314480,7961	332717,4263	596496,768	362650,8894	304246,05	282864,5827	300958,35	293895,265	278443,9606	771184,6785	673632,3832	674645,9544	735274,0561	566350,1739	679042,56	165353,6554	134645,747	118044,919	107055,4056	305939,0109	285588,0599	293518,2867	253343,798	248915,52	212041,5994	102635,6654	112136,1827	102385,7569	114837,3602	338860,3341	262318,4072	223913,7596	226095,1861	281140,2891	320688,2647
Tyr	2,54E-03	3,31E-01	2,4	1,3	79833,08667	68132,95927	76841,09767	77245,35845	145990,32	195234,8922	217949,2518	264049,632	219995,2503	184373,616	162892,6022	153538,4332	190849,0314	165033,5944	487811,8996	471371,7583	463220,6838	462765,5842	369624,9976	431530,512	82974,69326	68842,86621	71124,92845	60114,4039	163336,2025	188753,4826	177294,768	128072,444	137903,4725	134624,355	58797,67983	98619,8886	66766,86233	69240,12539	206102,4	214790,5668	196269,5615	163280,208	174440,784	223518,288
																																												
	Color-code		Color-code																																									
	p<0.05		decrease																																									
	p>0.05		increase																																									
