	t-Test				Fold Change*				Raw Data																																							
	DD/KR, 6h Dex  (Exp1 & 2)	DD/KR, 6h Dex (Exp3 & 4)	DD/KR, 24h Dex (Exp1 & 2)	DD/KR, 24h Dex (Exp3 & 4)	DD/KR, 6h Dex  (Exp1 & 2)	DD/KR, 6h Dex (Exp3 & 4)	DD/KR, 24h Dex (Exp1 & 2)	DD/KR, 24h Dex (Exp3 & 4)	Exp1-KR51-Rep1_24hDex-24hH2O	Exp1-KR51-Rep2_24hDex-24hH2O	Exp1-KR51-Rep3_24hDex-24hH2O	Exp2-KR51-Rep1_24hDex-24hH2O	Exp2-KR51-Rep2_24hDex-24hH2O	Exp2-KR51-Rep3_24hDex-24hH2O	Exp3-KR51-Rep1_24hDex-24hH2O	Exp3-KR51-Rep2_24hDex-24hH2O	Exp4-KR51-Rep1_24hDex-24hH2O	Exp4-KR51-Rep2_24hDex-24hH2O	Exp1-DD55-Rep1_24hDex-24hH2O	Exp1-DD55-Rep2_24hDex-24hH2O	Exp1-DD55-Rep3_24hDex-24hH2O	Exp2-DD55-Rep1_24hDex-24hH2O	Exp2-DD55-Rep2_24hDex-24hH2O	Exp2-DD55-Rep3_24hDex-24hH2O	Exp3-DD55-Rep1_24hDex-24hH2O	Exp3-DD55-Rep2_24hDex-24hH2O	Exp4-DD55-Rep1_24hDex-24hH2O	Exp4-DD55-Rep2_24hDex-24hH2O	Exp1-KR51-Rep1_6hDex-24hH2O	Exp1-KR51-Rep2_6hDex-24hH2O	Exp1-KR51-Rep3_6hDex-24hH2O	Exp2-KR51-Rep1_6hDex-24hH2O	Exp2-KR51-Rep2_6hDex-24hH2O	Exp2-KR51-Rep3_6hDex-24hH2O	Exp3-KR51-Rep1_6hDex-24hH2O	Exp3-KR51-Rep2_6hDex-24hH2O	Exp4-KR51-Rep1_6hDex-24hH2O	Exp4-KR51-Rep2_6hDex-24hH2O	Exp1-DD55-Rep1_6hDex-24hH2O	Exp1-DD55-Rep2_6hDex-24hH2O	Exp1-DD55-Rep3_6hDex-24hH2O	Exp2-DD55-Rep1_6hDex-24hH2O	Exp2-DD55-Rep2_6hDex-24hH2O	Exp2-DD55-Rep3_6hDex-24hH2O	Exp3-DD55-Rep1_6hDex-24hH2O	Exp3-DD55-Rep2_6hDex-24hH2O	Exp4-DD55-Rep1_6hDex-24hH2O	Exp4-DD55-Rep2_6hDex-24hH2O
8-MeS-Octyl-NH2	6,14E-01	6,78E-01	4,40E-01	6,26E-03	2,9	1,6	2,3	0,2	670	212376	71977	96136	56006	57106	709872	343773	364942	705598	47337	9413	44746	265832	251897	333051	97962	144866	118964	272524	104300	87442	24441	598886	53588	59608	290494	877268	958937	754435	211400	458588	4005	710444	220474	107318	4119	1420812	1251565	1843094
8-MeSO-Octyl-CN	1,70E-05	6,49E-04	5,66E-04	3,12E-04	4,5	2,5	2,7	1,8	740588	527757	1086439	556614	491628	266714	768913	602204	560524	756520	1387156	1637699	1384806	1594554	1791732	1254429	1195913	1177873	1307174	1271826	258798	371188	499032	661192	368355	170881	517334	503961	765111	877000	2024644	1569894	1758804	1526428	1960322	1409623	1569300	1524644	1683276	1737061
8-MeSO-Octyl-CO2H	6,00E-01	7,93E-01	1,94E-04	3,29E-04	1,2	2,8	3,0	2,9	7096	6332	9959	5485	6184	4503	3312	3099	3187	3932	27999	31293	22968	11758	14794	15189	7481	7915	10982	13016	4810	9399	8564	19201	11270	17871	4223	3021	3000	7213	13341	15036	11864	9718	12074	10891	575	9627	10629	11211
8-MeSO-Octyl-CONH2	6,77E-05	3,32E-05	1,27E-05	7,39E-04	4,8	5,3	3,8	3,9	6988	8792	5350	5463	3415	3046	7451	3530	2879	4643	19376	19257	19165	21538	26819	30704	15556	15415	16436	16318	2668	3909	4547	7545	3343	3207	2629	2381	2772	3544	19093	52653	17852	16839	16343	13156	20174	16564	11922	12297
8-MeSO-Octyl-NH2	1,40E-02	7,24E-01	2,56E-03	5,08E-02	4,3	1,3	3,8	1,6	241509	408559	519838	168457	126975	135876	432416	356253	313371	513055	737675	341266	746591	1214299	1144333	807098	426830	619749	611566	822930	244574	177610	131667	1312890	199954	475324	230278	544319	585762	804629	558638	989540	1168486	929825	693576	1120974	210790	710342	788077	953417
9,10-Dihydrohydroxy-JA-sulfate	8,73E-01	6,53E-01	3,97E-03	1,98E-01	1,2	0,8	4,4	1,2	21442	20099	50581	13292	6937	7213	20936	24743	19833	24313	48149	25687	80674	84336	67035	79725	25445	30941	20241	50483	6352	16203	5880	17735	13094	215007	10833	19741	17438	11674	18362	15425	29055	19013	6557	16747	8256	22779	11283	12586
9,12,13 Trihydroxy-10(E) 15(Z)-octadecadienoicacid	5,86E-02	2,50E-01	1,22E-06	2,51E-04	2,3	1,4	11,1	4,7	375806	87533	305467	254645	207522	141708	287403	279903	371134	331190	2142159	1814194	1999389	3263140	2973489	3097898	1064823	1605412	1273541	2627626	176498	229090	171362	775653	559998	293651	208578	212446	298509	324716	680117	524572	661383	547961	690673	344186	417103	205334	373168	365544
9,12,13 Trihydroxyoctadec-10-enoic acid	3,07E-02	1,69E-01	7,76E-07	8,02E-06	2,2	1,5	11,9	5,5	675052	248377	626936	355742	330092	183449	488828	541843	545897	532712	3714701	2980071	3492638	4549710	4431291	4438728	2368539	3163581	2726807	4187956	322442	441515	238884	1199278	889377	470830	468015	548446	666427	805569	1114499	879502	1067369	942563	1316584	703020	824441	548357	941347	981533
Adenosine	5,23E-01	3,85E-01	4,42E-01	5,97E-02	1,2	0,9	1,2	0,7	400016	140233	538918	307227	251193	206232	301379	302139	318342	371070	323015	286656	241660	360922	464619	362046	158075	206897	227312	329591	213848	109948	247623	226297	270000	82828	220338	258490	323376	364413	428227	66737	287458	223865	403573	157360	309120	126026	270183	266798
Azelaoyl IysoPC	2,07E-03	8,93E-03	9,94E-02	3,01E-01	2,3	1,9	2,3	0,9	29385	4591	13542	5784	6168	2731	47865	11624	13732	11321	9750	11265	15540	31332	20502	11381	8633	12770	10164	14820	3855	5887	4818	9124	4345	5279	4163	7638	8406	8307	9672	20298	14035	7777	8790	14577	24272	12798	13129	16442
Coniferin	6,15E-04	3,18E-03	2,23E-06	2,95E-06	0,3	0,3	0,2	0,1	44023	24821	32103	32526	26937	15539	36393	45525	42945	50033	6146	5081	4353	6187	6502	3421	2758	2693	4730	3884	16249	10746	14185	18611	21286	4971	15185	13007	27856	22276	4182	3935	3788	2802	6369	3552	3624	3167	7587	6823
Esculetin	2,23E-01	2,17E-01	1,77E-03	6,04E-05	0,8	0,7	0,1	0,1	6510	84372	41696	140614	143523	118877	47305	41317	28368	22830	5171	6756	2547	6590	11032	10889	6340	3904	4646	4587	88138	135510	78859	49051	92784	50307	67838	50228	50111	40310	67437	70463	52343	71074	76160	30389	801	39372	33223	35004
Esculin	8,75E-02	9,77E-03	8,10E-06	2,17E-06	0,7	0,6	0,2	0,3	8991	7880	10003	15684	15984	13725	8513	8286	9363	8497	3123	2792	2449	1284	2948	2950	3015	2822	2276	2535	8921	4213	15157	6035	7903	12395	8562	9107	10565	8882	6119	4332	5958	5338	7864	4689	3514	4445	5955	7067
FA dimer	2,61E-02	1,48E-01	1,98E-05	8,12E-08	0,5	0,6	0,1	0,1	37311	19231	32661	21509	16809	13702	22076	23456	25072	23213	1755	952	239	1731	2606	1782	2305	2539	2885	2085	16499	24305	28273	19285	21324	6843	19138	22672	31469	26927	11895	4037	10826	8148	11843	9920	658	12665	14743	15084
G(8-5)FA Sulfate	1,32E-02	9,85E-01	5,92E-02	9,93E-02	1,9	0,9	2,2	1,1	120985	40736	89047	46683	35411	18135	106480	103816	112947	108907	103231	92133	56768	129501	101816	84286	116649	127983	108329	153323	17749	21757	26154	32674	31445	13004	26300	58174	74617	68641	58686	39452	54842	39094	53215	21910	31474	48999	68941	75462
G(8-5)G	1,78E-01	1,56E-01	1,45E-04	1,70E-04	0,6	0,7	0,5	0,5	134748	127883	193285	149399	136638	94533	148547	178978	167852	155751	64028	77321	38717	64761	68165	61541	98453	76491	82276	69593	163543	219660	199808	133228	122767	44573	207508	235680	297433	244862	129285	12083	102294	76777	133208	72521	46220	142064	201747	235705
G(8-O-4)Esculetin	1,25E-03	8,94E-04	1,68E-06	1,88E-05	0,4	0,6	0,1	0,2	18798	19586	14149	29362	34862	29928	12981	14524	9994	9788	1125	2893	863	2913	3721	2988	2275	1544	2188	1443	20285	34070	49493	20485	27460	38988	27057	20903	18384	17787	15813	6414	13616	11917	16470	12662	9329	11241	11774	10862
G(8-O-4)FA Sulfate	6,69E-01	3,51E-01	6,57E-03	1,01E-01	1,4	1,2	2,7	1,2	12181	2492	5900	4242	2689	3147	16319	15262	9876	14753	19774	9804	9945	11923	8174	9730	17079	18505	41805	17943	1484	1586	3180	2646	7904	1055	4250	11026	12376	5775	3801	1898	6173	2093	4027	1209	9985	8287	11257	10497
G(8-O-4)G	9,55E-02	1,42E-01	9,92E-04	2,43E-04	0,6	0,6	0,5	0,5	71904	38285	73837	49967	43828	27026	46704	55084	47672	45939	23277	27049	13970	22622	21299	18521	27828	20760	22006	17531	50536	70346	63299	53531	49427	19016	60259	71871	87183	69795	36881	7755	31381	24707	49093	29257	7117	36853	52513	63208
G(8-O-4)S(8-5)G	1,24E-01	2,43E-01	2,15E-03	6,05E-05	0,7	0,8	0,4	0,2	11169	4321	6548	6315	5326	2756	20004	24765	19911	18019	2089	3122	1819	2119	768	2018	5096	2893	4547	5385	7543	9499	11595	6703	7392	2640	30245	42758	55030	31055	5382	2453	5682	2972	5311	6427	6440	23575	39306	37125
H-Gly-Phe-OH	5,52E-01	7,28E-01	2,43E-04	1,65E-03	2,1	1,7	5,8	2,4	853	3440	2479	3699	4393	860	7798	5041	4738	5295	11177	7110	19484	18950	15367	19147	10577	14408	10844	15880	473	1587	874	15706	3650	18979	3790	6261	5429	7708	5334	5589	1587	8891	7025	5597	508	10259	9792	9530
H-Ile-Ile-OH	2,76E-01	9,97E-01	2,83E-01	1,04E-04	5,1	1,2	7,4	2,8	601	38	684	647	438	872	2494	2731	3008	2343	3205	49	872	6030	7307	8139	5211	7557	7290	7585	333	3294	583	1463	0	33	1923	3639	2980	3074	1911	2748	526	3831	3147	283	507	2903	4319	4622
H-Ile-Leu-OH	7,47E-01	5,61E-01	2,87E-01	7,45E-04	2,4	1,1	4,0	1,6	625	652	6371	4795	14713	8145	20269	22141	20854	22289	43453	872	12833	1634	31465	49443	28359	37600	33226	38785	4896	9025	928	23467	717	9655	10088	20524	19215	27297	21511	11531	921	29782	32408	614	619	19737	24567	25646
H-Ile-Phe-OH	1,23E-02	7,40E-01	6,38E-02	1,34E-04	2,2	1,4	2,4	2,0	8022	1243	8835	13111	11766	7275	14461	16188	15586	13437	22255	7833	8553	17419	27007	26591	23996	32504	29521	29856	6613	9600	8528	10896	3265	1901	10798	13171	13432	21762	15851	18072	7722	19659	24778	13328	2445	15136	22100	23519
H-Leu-Ile-OH	5,48E-01	5,30E-01	2,63E-01	3,51E-02	9,0	3,0	20,7	3,4	526	692	813	514	564	741	878	11806	12339	2446	30875	872	872	872	30415	25174	20009	26811	23020	24765	878	7385	870	809	764	2714	528	620	9855	19210	14717	994	1000	19702	19565	936	706	13738	17264	18994
H-Leu-Leu-OH	8,79E-03	5,33E-01	3,54E-02	8,74E-05	3,0	1,6	3,0	2,0	580	6457	32452	50452	41916	22752	59955	63053	64126	56636	115705	26243	52599	58635	107618	115950	104002	140617	114650	134080	15718	22253	22344	60365	18355	25213	45523	46869	59670	92704	62402	69795	25260	98381	86524	50679	636	77530	90323	97126
H-Leu-Pro-OH	3,73E-02	7,91E-01	2,54E-04	2,65E-05	1,7	1,7	4,7	3,3	4590	10801	30315	21202	20088	10876	21231	18450	16897	16759	85383	45648	70526	62868	79849	76131	47444	64913	52106	66654	22062	36586	12981	47978	13651	26104	11919	17034	19490	19985	42831	29792	39860	62123	57504	33305	724	29196	31242	35026
H-Leu-Tyr-OH	8,58E-03	9,53E-01	2,05E-02	8,20E-04	2,6	1,5	2,6	1,8	5318	2172	10749	15740	12273	6703	18964	17140	16979	12895	31045	10241	13411	14905	30080	29857	26954	36392	29722	32288	5747	6160	8312	16351	6162	7133	11865	13843	16760	24682	17235	15497	7778	26232	24231	16759	4313	20067	25913	27066
H-Phe-Ile-OH	1,57E-02	8,49E-01	2,76E-02	1,16E-05	2,8	1,5	5,1	2,4	2939	616	2187	6785	6002	3421	6730	7771	7894	7819	15981	2407	5477	16458	16884	20040	15726	20507	18402	18740	3733	5331	4524	7555	613	608	6031	6319	8043	12039	10101	13322	3981	16078	15546	9413	630	10133	11888	12041
H-Phe-Val-OH	4,85E-03	6,27E-01	7,61E-03	4,16E-05	2,7	1,5	3,5	2,2	7969	1112	5776	10225	10588	5522	13692	15487	14617	12341	28338	9843	14534	21089	26561	31412	27236	35799	29909	31898	4609	7250	6714	16229	6597	6043	11838	12463	13873	21955	14796	19480	8421	24111	21768	17106	994	17632	21424	21826
H-Tyr-Ile-OH	4,62E-03	4,86E-01	1,39E-03	5,59E-06	2,8	2,0	4,6	3,0	1586	1555	3160	4832	4225	2592	3335	2912	3762	2966	15471	4131	6343	11977	14238	16318	8702	10348	10078	9079	3180	2884	2151	7173	1081	2978	3067	550	3356	5523	8271	8039	4081	12081	11753	7661	897	6256	6660	7076
H-Tyr-Leu-OH	1,62E-02	9,60E-01	4,91E-03	5,86E-05	3,0	1,7	3,9	2,3	1892	2765	6593	9146	8869	4239	11806	11821	12073	10038	27775	6747	11654	15311	26697	29722	22610	30243	25148	30885	4100	4249	3843	16514	5088	6559	9493	9325	11550	19520	14118	13254	5850	18306	16945	13842	3283	16994	19306	20448
